                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.41878,                0.71261,                0.88298,                0.98845,                      1,                  0.995,                0.94401,                0.34246,                0.61524,                0.74742,             0.00057778,             0.00057778,             0.00057778
                     69,                0.37565,                0.67681,                0.86583,                0.98992,                      1,                  0.995,                0.93423,                0.35384,                0.60915,                0.75068,             0.00056128,             0.00056128,             0.00056128
                     70,                0.40118,                0.63195,                 0.8904,                0.98992,                      1,                  0.995,                0.93423,                0.35384,                0.60915,                0.75068,             0.00054478,             0.00054478,             0.00054478
                     71,                 0.3629,                0.66167,                0.84863,                0.99058,                      1,                  0.995,                0.92873,                0.36947,                0.61427,                0.75553,             0.00052827,             0.00052827,             0.00052827
                     72,                0.42187,                 0.6627,                0.88934,                0.98937,                      1,                  0.995,                0.93073,                0.37621,                0.60251,                0.76194,             0.00051177,             0.00051177,             0.00051177
                     73,                0.36343,                0.60302,                0.86529,                0.98956,                      1,                  0.995,                0.91873,                 0.3654,                  0.617,                0.76349,             0.00049527,             0.00049527,             0.00049527
                     74,                 0.3725,                0.62446,                0.81436,                 0.9901,                      1,                  0.995,                0.93623,                0.34046,                 0.5922,                0.75689,             0.00047876,             0.00047876,             0.00047876
                     75,                0.31338,                0.65401,                0.84545,                0.98969,                      1,                  0.995,                0.94289,                0.31832,                0.59118,                0.75174,             0.00046226,             0.00046226,             0.00046226
                     76,                0.34006,                 0.6841,                0.87817,                0.99018,                      1,                  0.995,                0.96786,                0.29719,                0.58808,                 0.7468,             0.00044576,             0.00044576,             0.00044576
                     77,                0.32755,                0.61954,                 0.8356,                0.99019,                      1,                  0.995,                0.96786,                 0.2834,                0.59815,                0.74525,             0.00042925,             0.00042925,             0.00042925
                     78,                 0.3311,                0.66008,                0.78513,                0.99019,                      1,                  0.995,                0.96786,                 0.2834,                0.59815,                0.74525,             0.00041275,             0.00041275,             0.00041275
                     79,                0.33123,                0.58969,                0.83787,                0.98762,                      1,                  0.995,                0.96786,                0.28683,                0.59918,                0.74533,             0.00039625,             0.00039625,             0.00039625
                     80,                0.33959,                0.60203,                0.85266,                0.98562,                      1,                  0.995,                0.94797,                0.30655,                 0.6062,                0.74652,             0.00037974,             0.00037974,             0.00037974
                     81,                0.35326,                0.63403,                0.86163,                0.98588,                      1,                  0.995,                0.95588,                 0.3138,                0.59405,                0.74596,             0.00036324,             0.00036324,             0.00036324
                     82,                 0.2509,                 1.5719,                0.70691,                0.98811,                      1,                  0.995,                0.95588,                0.30395,                0.57831,                0.74145,             0.00034674,             0.00034674,             0.00034674
                     83,                0.30268,                0.66452,                0.83296,                0.98997,                      1,                  0.995,                0.95588,                0.29508,                0.55424,                0.73953,             0.00033023,             0.00033023,             0.00033023
                     84,                0.34006,                0.58996,                0.84831,                0.99147,                      1,                  0.995,                0.95113,                0.28435,                0.52761,                0.73694,             0.00031373,             0.00031373,             0.00031373
                     85,                0.29194,                0.58058,                0.83524,                0.99174,                      1,                  0.995,                0.95113,                0.28023,                0.51335,                 0.7363,             0.00029723,             0.00029723,             0.00029723
